Model;Year;Horsepower;Engine size
80 1.6 Specs;1989;69;1595 cm3 (97.3 cu-in)
80 1.9 E Specs;1986;113;1847 cm3 (112.7 cu-in)
80 2.0 16v Quatro Specs;1990;140;1984 cm3 (121.1 cu-in)
